var,type,low,high,err
y,flt,-2.500000000000028865798640254070e-01,-2.500000000000017763568394002505e-01,6.401591532391965771905774762398e-16
y,flt,-2.500000000000035527136788005009e-01,-2.500000000000028865798640254070e-01,6.401591532391974646590958498781e-16
y,flt,-2.500000000000057731597280508140e-01,-2.500000000000035527136788005009e-01,6.401591532391978590895484603840e-16
y,flt,-2.500000000000071054273576010019e-01,-2.500000000000057731597280508140e-01,6.401591532391995354189720550341e-16
y,flt,-2.500000000000115463194561016280e-01,-2.500000000000071054273576010019e-01,6.401591532392003242798772760459e-16
y,flt,-2.500000000000142108547152020037e-01,-2.500000000000115463194561016280e-01,6.401591532392036769387244653460e-16
y,flt,-2.500000000000230926389122032560e-01,-2.500000000000142108547152020037e-01,6.401591532392052546605349073696e-16
y,flt,-2.500000000000284217094304040074e-01,-2.500000000000230926389122032560e-01,6.401591532392119599782292859700e-16
y,flt,-2.500000000000461852778244065121e-01,-2.500000000000284217094304040074e-01,6.401591532392151154218501700172e-16
y,flt,-2.500000000000568434188608080149e-01,-2.500000000000461852778244065121e-01,6.401591532392286246648520798444e-16
y,flt,-2.500000000000923705556488130242e-01,-2.500000000000568434188608080149e-01,6.401591532392349355520938479388e-16
y,flt,-2.500000000001136868377216160297e-01,-2.500000000000923705556488130242e-01,6.401591532392618554304845149667e-16
y,flt,-2.500000000001847411112976260483e-01,-2.500000000001136868377216160297e-01,6.401591532392744772049680511556e-16
y,flt,-2.500000000002273736754432320595e-01,-2.500000000001847411112976260483e-01,6.401591532393283169617493852113e-16
y,flt,-2.500000000003695377337464833545e-01,-2.500000000002273736754432320595e-01,6.401591532393535605107164575891e-16
y,flt,-2.500000000004547473508864641190e-01,-2.500000000003695377337464833545e-01,6.401591532394613386318922783270e-16
y,flt,-2.500000000007391309786441979668e-01,-2.500000000004547473508864641190e-01,6.401591532395118257298264230825e-16
y,flt,-2.500000000009094947017729282379e-01,-2.500000000007391309786441979668e-01,6.401591532397271847569517593054e-16
y,flt,-2.500000000014782619572883959336e-01,-2.500000000009094947017729282379e-01,6.401591532398281589528200488165e-16
y,flt,-2.500000000018189894035458564758e-01,-2.500000000014782619572883959336e-01,6.401591532402590742222970265152e-16
y,flt,-2.500000000029565794257280231250e-01,-2.500000000018189894035458564758e-01,6.401591532404610226140336055374e-16
y,flt,-2.500000000036379788070917129517e-01,-2.500000000029565794257280231250e-01,6.401591532413228531529875609348e-16
y,flt,-2.500000000059131588514560462500e-01,-2.500000000036379788070917129517e-01,6.401591532417267499364607189792e-16
y,flt,-2.500000000072759576141834259033e-01,-2.500000000059131588514560462500e-01,6.401591532434503124067554771475e-16
